Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0038261	22	15	9	68	40	39	11	23	13	35	56	48	30.96	16	46	2.972	1.572	3.951	7.78256261670433e-05	0.000922951980971709	0	0.0888	0.069	0.069	TRUE	NA
FBgn0036560	18	4	5	74	14	32	9	6	7	38	20	39	19.83	7	32	4.299	2.104	3.939	8.18195955159498e-05	0.000963916870656242	0	0.1361	0.1174	0.1174	TRUE	NA
FBgn0038107	2179	701	947	2710	1137	1422	1097	1096	1349	1382	1590	1743	1376.25	1181	1572	1.325	0.407	3.936	8.26823844255732e-05	0.000972798014387838	0.0086	0.0064	0.0069	0.0069	TRUE	NA
FBgn0083983	167	27	54	338	82	88	84	42	77	172	115	108	99.69	68	132	1.933	0.951	3.936	8.28855009035152e-05	0.000973904635616304	0.0219	0.0307	0.0294	0.0294	TRUE	NA
FBgn0034390	1217	459	546	1531	708	790	613	717	778	781	990	968	807.92	703	913	1.296	0.374	3.929	8.5384038392171e-05	0.0010006292163282	0	0.0078	0.0052	0.0052	TRUE	NA
FBgn0052436	572	252	212	938	363	365	288	394	302	478	508	447	402.9	328	478	1.473	0.558	3.923	8.75828385738857e-05	0.00102237222021542	0.0142	0.011	0.0118	0.0118	TRUE	NA
FBgn0031992	473	66	101	704	148	163	238	103	144	359	207	200	208.51	162	255	1.583	0.662	3.919	8.87373891494716e-05	0.00103046148908294	0.0027	0.017	0.0145	0.0145	TRUE	NA
FBgn0030466	4316	1789	1714	5091	2506	2692	2174	2796	2442	2596	3505	3300	2802.1	2471	3134	1.262	0.336	3.918	8.93508696636537e-05	0.00103379185337284	0.0039	0.0055	0.0049	0.0049	TRUE	NA
FBgn0261842	61	20	43	143	62	92	31	31	61	73	87	113	65.94	41	91	2.229	1.156	3.915	9.03342302665488e-05	0.00104357655404952	0.045	0.0441	0.0443	0.0443	TRUE	NA
FBgn0039651	84	44	35	181	84	82	42	69	50	92	117	101	78.54	54	103	1.966	0.975	3.906	9.38250776408307e-05	0.0010797138445008	0	0.0378	0.03	0.03	TRUE	NA
FBgn0037848	1004	368	414	1433	537	590	506	575	590	731	751	723	645.94	557	735	1.329	0.41	3.904	9.47523857824942e-05	0.00108758201161655	0	0.0086	0.0063	0.0063	TRUE	NA
FBgn0035710	20	3	5	61	22	25	10	5	7	31	31	31	19.07	7	31	4.063	2.023	3.896	9.79822971893634e-05	0.00112151139011939	0	0.1414	0.1072	0.1072	TRUE	NA
FBgn0030053	737	293	334	958	448	517	371	458	476	489	627	634	508.97	435	583	1.337	0.419	3.889	0.000100656485216328	0.00114797243037268	0	0.0097	0.0063	0.0063	TRUE	NA
FBgn0027885	5007	1356	1416	6185	1794	2023	2522	2119	2018	3154	2509	2480	2466.89	2220	2714	1.222	0.289	3.886	0.000101789036558215	0.00115793133307626	1e-04	0.0056	0.0035	0.0035	TRUE	NA
FBgn0003943	24248	8613	9526	28766	11370	12842	12213	13461	13574	14669	15902	15740	14259.75	13083	15437	1.181	0.24	3.882	0.0001036969194112	0.00117813421163106	0	0.0047	0.0027	0.0027	TRUE	NA
FBgn0266421	824	187	269	1181	364	368	415	292	383	602	509	451	442.16	363	521	1.43	0.516	3.877	0.000105592713031715	0.00119662808042286	0.0093	0.0104	0.0102	0.0102	TRUE	NA
FBgn0020249	1441	580	730	2095	881	967	726	906	1040	1068	1232	1185	1026.36	891	1162	1.318	0.399	3.876	0.000106264880129079	0.00120144077125142	0.0055	0.0071	0.0066	0.0066	TRUE	NA
FBgn0053558	5668	1827	1709	6364	2815	2912	2855	2855	2435	3245	3937	3569	3149.46	2715	3584	1.315	0.396	3.876	0.000106398624656558	0.00120144077125142	0.0112	0.0054	0.0072	0.0072	TRUE	NA
FBgn0035113	194	60	66	296	117	135	98	94	94	151	164	165	127.6	95	160	1.666	0.736	3.863	0.000111952534368238	0.0012575297256709	0	0.025	0.0174	0.0174	TRUE	NA
FBgn0038804	172	50	61	256	115	124	87	78	87	131	161	152	115.84	84	148	1.728	0.789	3.863	0.000112166605241056	0.00125835148844551	0	0.0271	0.0203	0.0203	TRUE	NA
FBgn0035285	1815	494	570	2271	746	807	914	772	812	1158	1043	989	948.16	833	1063	1.276	0.352	3.862	0.000112617952218475	0.00126182975321328	0	0.0073	0.0048	0.0048	TRUE	NA
FBgn0053926	1318	485	582	1575	785	858	664	758	829	803	1098	1052	867.3	750	984	1.3	0.378	3.859	0.00011375340357455	0.00127295475428663	0.0017	0.0075	0.0057	0.0057	TRUE	NA
FBgn0051324	1569	569	571	2079	801	840	790	889	814	1060	1120	1030	950.52	831	1070	1.291	0.368	3.85	0.00011798060201556	0.00131695846999868	0.0014	0.0073	0.0054	0.0054	TRUE	NA
FBgn0261014	13122	5517	5930	15599	7380	8050	6609	8622	8450	7955	10322	9867	8637.33	7894	9381	1.19	0.251	3.85	0.00011831443353413	0.00131739138586008	3e-04	0.0048	0.0029	0.0029	TRUE	NA
FBgn0030966	372	134	158	460	266	288	187	209	225	235	372	353	263.59	207	320	1.498	0.583	3.84	0.000122828998495874	0.00135918581978705	0.0077	0.0144	0.0125	0.0125	TRUE	NA
FBgn0027945	395	95	99	557	150	220	199	148	141	284	210	270	208.66	163	255	1.563	0.644	3.818	0.00013443429853041	0.00147844616487261	0.009	0.017	0.015	0.015	TRUE	NA
FBgn0039590	2420	942	797	3108	1233	1433	1219	1472	1136	1585	1725	1756	1482.08	1276	1689	1.323	0.404	3.814	0.00013689159935017	0.00150177147690051	0.0099	0.0063	0.0074	0.0074	TRUE	NA
FBgn0028692	6065	2428	2567	7052	3203	3709	3055	3795	3658	3596	4480	4546	3854.82	3503	4207	1.199	0.262	3.804	0.000142477586781361	0.00155731315784278	1e-04	0.0052	0.0031	0.0031	TRUE	NA
FBgn0046214	7975	2882	3075	9056	3982	4379	4017	4504	4382	4618	5569	5367	4742.82	4301	5185	1.202	0.266	3.791	0.000149926455847773	0.00163472924385911	7e-04	0.0051	0.0033	0.0033	TRUE	NA
FBgn0039696	1181	394	451	1430	606	687	595	616	643	729	848	842	712.01	618	806	1.298	0.376	3.785	0.000153446415833303	0.00166903348768745	0	0.0082	0.0056	0.0056	TRUE	NA
FBgn0004872	1680	562	532	2629	805	766	846	878	758	1341	1126	939	981.32	827	1135	1.368	0.453	3.783	0.000154744467299961	0.00168110473599593	0.0137	0.0072	0.0091	0.0091	TRUE	NA
FBgn0020653	7743	3042	3474	8757	4274	4858	3900	4754	4950	4466	5978	5954	5000.28	4535	5466	1.2	0.263	3.779	0.000157366074998923	0.0017054357399762	6e-04	0.0051	0.0033	0.0033	TRUE	NA
FBgn0012037	1335	427	582	1757	678	859	672	667	829	896	948	1053	844.35	723	966	1.335	0.417	3.765	0.000166299485030506	0.00179788668440971	0.0073	0.0076	0.0075	0.0075	TRUE	NA
FBgn0023512	2113	984	1144	2598	1396	1574	1064	1538	1630	1325	1952	1929	1573.11	1411	1735	1.232	0.301	3.765	0.000166857145026314	0.00179955833947462	0	0.0062	0.0039	0.0039	TRUE	NA
FBgn0033032	553	139	156	826	225	237	279	217	222	421	315	290	290.74	239	342	1.429	0.515	3.765	0.000166815412348465	0.00179955833947462	0	0.0135	0.0096	0.0096	TRUE	NA
FBgn0039006	1071	359	366	1492	489	557	539	561	522	761	684	683	624.91	541	709	1.317	0.397	3.759	0.000170304098893172	0.00182570900734217	0	0.0087	0.0063	0.0063	TRUE	NA
FBgn0261989	11	6	3	74	17	17	6	9	4	38	24	21	16.92	6	28	4.513	2.174	3.754	0.000174103058967623	0.00186419702227922	0.0534	0.1587	0.134	0.134	TRUE	NA
FBgn0015245	13464	6175	7054	14944	8576	10351	6781	9650	10051	7621	11995	12687	9797.53	8827	10768	1.208	0.272	3.75	0.000176744740778118	0.00188569956409629	0.002	0.0048	0.0037	0.0037	TRUE	NA
FBgn0265274	69	17	26	140	50	59	35	27	37	71	70	72	52	33	71	2.154	1.107	3.734	0.000188198912107545	0.00199835467909676	0	0.0547	0.0399	0.0399	TRUE	NA
FBgn0030871	972	393	476	1260	645	652	490	614	678	643	902	799	687.63	594	781	1.314	0.394	3.73	0.000191447585464564	0.00203043579358498	0.0019	0.0083	0.0065	0.0065	TRUE	NA
FBgn0031688	42	5	16	116	40	30	21	8	23	59	56	37	33.94	17	51	2.901	1.537	3.725	0.000195547429736706	0.00206900301842273	0.0728	0.0814	0.0802	0.0802	TRUE	NA
FBgn0010194	2148	653	719	2630	920	1027	1082	1021	1024	1341	1287	1259	1168.92	1042	1296	1.243	0.313	3.721	0.000198340770754045	0.00209359702462603	0	0.0068	0.0042	0.0042	TRUE	NA
FBgn0037580	3500	1273	1540	4237	1888	2051	1763	1989	2194	2161	2641	2514	2210.29	1982	2439	1.229	0.298	3.72	0.000199022333835973	0.00209831102851858	0.0013	0.0057	0.0041	0.0041	TRUE	NA
FBgn0033924	747	203	226	929	337	369	376	317	322	474	471	452	402.14	338	466	1.369	0.453	3.711	0.000206360449377709	0.00216799860346228	0	0.011	0.008	0.008	TRUE	NA
FBgn0000064	14102	5007	5231	15720	6619	7916	7103	7825	7454	8016	9258	9703	8226.27	7461	8992	1.202	0.265	3.699	0.0002161177564237	0.00225987302677242	0.0021	0.0048	0.0036	0.0036	TRUE	NA
FBgn0024277	11292	4233	4078	14182	5341	6017	5687	6615	5811	7232	7470	7375	6698.41	6038	7359	1.22	0.287	3.694	0.000221082785582399	0.00230638934024629	0.0029	0.0049	0.0042	0.0042	TRUE	NA
FBgn0053193	505	193	191	629	298	364	254	302	272	321	417	446	335.3	276	395	1.409	0.495	3.691	0.000223103131683472	0.0023247502519643	0.0034	0.0123	0.0097	0.0097	TRUE	NA
FBgn0032409	1476	537	569	1747	767	888	743	839	811	891	1073	1088	907.57	798	1017	1.268	0.343	3.691	0.000223434204857725	0.00232548653773832	0	0.0074	0.005	0.005	TRUE	NA
FBgn0032881	365	102	125	537	165	223	184	159	178	274	231	273	216.55	174	259	1.492	0.578	3.679	0.000234304675770525	0.00242449681880741	0	0.0166	0.0126	0.0126	TRUE	NA
FBgn0030026	272	128	164	473	199	260	137	200	234	241	278	319	234.82	190	279	1.507	0.591	3.673	0.00023927533439111	0.00246293443356608	0	0.0156	0.014	0.014	TRUE	NA
FBgn0030467	1423	462	554	1796	705	766	717	722	789	916	986	939	844.81	743	947	1.274	0.35	3.674	0.00023859065365732	0.00246293443356608	0	0.0076	0.0053	0.0053	TRUE	NA
FBgn0039538	148	52	48	220	92	134	75	81	68	112	129	164	104.88	75	135	1.771	0.824	3.674	0.000238324282583816	0.00246293443356608	0.0139	0.0294	0.0254	0.0254	TRUE	NA
FBgn0000150	13815	5414	6744	16765	8106	8646	6958	8461	9609	8549	11337	10597	9252.07	8343	10161	1.219	0.285	3.671	0.000241297855012105	0.00247962007509563	0.0034	0.0048	0.0042	0.0042	TRUE	NA
FBgn0285925	623	203	198	834	307	329	314	317	282	425	429	403	361.85	304	419	1.376	0.461	3.67	0.000242916838946246	0.00249052511112511	0	0.0117	0.0083	0.0083	TRUE	NA
FBgn0028684	1637	593	687	2160	833	945	825	927	979	1101	1165	1158	1025.83	910	1141	1.26	0.334	3.668	0.000244294210477127	0.00249890870510967	0	0.0071	0.0049	0.0049	TRUE	NA
FBgn0259741	34	13	12	102	35	32	17	20	17	52	49	39	32.45	18	47	2.62	1.39	3.663	0.000248850049604452	0.00254259833291505	0	0.0849	0.063	0.063	TRUE	NA
FBgn0035167	107	55	51	211	80	127	54	86	73	108	112	156	97.94	71	125	1.803	0.85	3.66	0.000252187192525662	0.00256495629755599	0	0.0312	0.0273	0.0273	TRUE	NA
FBgn0035148	2088	510	612	2476	758	929	1052	797	872	1263	1060	1139	1030.36	907	1154	1.273	0.348	3.657	0.00025560124247433	0.00259377169919974	0.0018	0.0071	0.0054	0.0054	TRUE	NA
FBgn0000147	553	204	274	841	352	367	279	319	390	429	492	450	393.13	329	457	1.401	0.487	3.656	0.000256651126123902	0.00259886236203757	0.0068	0.0112	0.01	0.01	TRUE	NA
FBgn0025574	789	227	230	1056	353	355	397	355	328	538	494	435	424.53	360	489	1.358	0.442	3.655	0.000256684949979522	0.00259886236203757	0	0.0107	0.0079	0.0079	TRUE	NA
FBgn0259683	253	55	68	374	116	122	127	86	97	191	162	150	135.46	103	168	1.613	0.689	3.643	0.000269289795859929	0.00272031434053073	0	0.0238	0.0173	0.0173	TRUE	NA
FBgn0052803	503	155	212	755	249	332	253	242	302	385	348	407	322.97	266	380	1.436	0.522	3.641	0.000271908457706301	0.00274056718658834	0.0077	0.0126	0.0114	0.0114	TRUE	NA
FBgn0263093	535	170	145	734	268	266	269	266	207	374	375	326	302.82	247	358	1.447	0.533	3.638	0.000274607523539925	0.00276153737073371	0.0068	0.0132	0.0118	0.0118	TRUE	NA
